DATE,NA000334Q
01/01/1970,253998
01/04/1970,268532
01/07/1970,268019
01/10/1970,282764
01/01/1971,273782
01/04/1971,291216
01/07/1971,291043
01/10/1971,308808
01/01/1972,299204
01/04/1972,318894
01/07/1972,319052
01/10/1972,341962
01/01/1973,333807
01/04/1973,354356
01/07/1973,354349
01/10/1973,382865
01/01/1974,361840
01/04/1974,384120
01/07/1974,385975
01/10/1974,413310
01/01/1975,391688
01/04/1975,414253
01/07/1975,423323
01/10/1975,455641
01/01/1976,441178
01/04/1976,465343
01/07/1976,466535
01/10/1976,500358
01/01/1977,481996
01/04/1977,515010
01/07/1977,526844
01/10/1977,557979
01/01/1978,534990
01/04/1978,583171
01/07/1978,596032
01/10/1978,637402
01/01/1979,618499
01/04/1979,648326
01/07/1979,658706
01/10/1979,701800
01/01/1980,683564
01/04/1980,698570
01/07/1980,707671
01/10/1980,767505
01/01/1981,758799
01/04/1981,791530
01/07/1981,811659
01/10/1981,845052
01/01/1982,803715
01/04/1982,831458
01/07/1982,834528
01/10/1982,874081
01/01/1983,850380
01/04/1983,895388
01/07/1983,916516
01/10/1983,971755
01/01/1984,962905
01/04/1984,1002687
01/07/1984,1011924
01/10/1984,1060096
01/01/1985,1033006
01/04/1985,1073981
01/07/1985,1090905
01/10/1985,1141088
01/01/1986,1104498
01/04/1986,1138030
01/07/1986,1148813
01/10/1986,1188288
01/01/1987,1148876
01/04/1987,1205023
01/07/1987,1218373
01/10/1987,1282952
01/01/1988,1236534
01/04/1988,1297399
01/07/1988,1319724
01/10/1988,1382783
01/01/1989,1346036
01/04/1989,1405607
01/07/1989,1418867
01/10/1989,1471062
01/01/1990,1434375
01/04/1990,1490965
01/07/1990,1499694
01/10/1990,1538100
01/01/1991,1475270
01/04/1991,1532427
01/07/1991,1548990
01/10/1991,1601443
01/01/1992,1554707
01/04/1992,1619581
01/07/1992,1640744
01/10/1992,1705290
01/01/1993,1638122
01/04/1993,1701825
01/07/1993,1724703
01/10/1993,1793863
01/01/1994,1736453
01/04/1994,1809569
01/07/1994,1837412
01/10/1994,1903751
01/01/1995,1835136
01/04/1995,1897414
01/07/1995,1922816
01/10/1995,1984341
01/01/1996,1925298
01/04/1996,2005097
01/07/1996,2035136
01/10/1996,2107536
01/01/1997,2043501
01/04/1997,2129607
01/07/1997,2166479
01/10/1997,2237891
01/01/1998,2160728
01/04/1998,2249908
01/07/1998,2281422
01/10/1998,2370677
01/01/1999,2293136
01/04/1999,2388422
01/07/1999,2423648
01/10/1999,2524828
01/01/2000,2448892
01/04/2000,2569266
01/07/2000,2577927
01/10/2000,2655636
01/01/2001,2562488
01/04/2001,2656407
01/07/2001,2651366
01/10/2001,2711715
01/01/2002,2631119
01/04/2002,2721842
01/07/2002,2751463
01/10/2002,2824686
01/01/2003,2743734
01/04/2003,2831413
01/07/2003,2886905
01/10/2003,2994399
01/01/2004,2924602
01/04/2004,3032386
01/07/2004,3069688
01/10/2004,3190521
01/01/2005,3111329
01/04/2005,3232051
01/07/2005,3306451
01/10/2005,3389367
01/01/2006,3333266
01/04/2006,3460990
01/07/2006,3463694
01/10/2006,3557633
01/01/2007,3482006
01/04/2007,3613882
01/07/2007,3637993
01/10/2007,3740350
01/01/2008,3657487
01/04/2008,3715835
01/07/2008,3698182
01/10/2008,3698360
01/01/2009,3522117
01/04/2009,3598010
01/07/2009,3623204
01/10/2009,3734738
01/01/2010,3602418
01/04/2010,3755370
01/07/2010,3793867
01/10/2010,3897315
01/01/2011,3764835
01/04/2011,3893028
01/07/2011,3927583
01/10/2011,4014288
01/01/2012,3960259
01/04/2012,4047165
01/07/2012,4086346
01/10/2012,4160201
01/01/2013,4074333
01/04/2013,4184244
01/07/2013,4259404
01/10/2013,4362704
01/01/2014,4220258
01/04/2014,4376828
01/07/2014,4465484
01/10/2014,4545567
01/01/2015,4411435
01/04/2015,4580499
01/07/2015,4625898
01/10/2015,4677188
01/01/2016,4521822
01/04/2016,4690281
01/07/2016,4746661
01/10/2016,4840483
01/01/2017,4674704
01/04/2017,4889678
01/07/2017,4958224
01/10/2017,5089495
01/01/2018,4962408
01/04/2018,5161541
01/07/2018,5221627
01/10/2018,5310940
01/01/2019,5140051
01/04/2019,5376189
01/07/2019,5441019
01/10/2019,5564137
01/01/2020,5292718
01/04/2020,5009931
01/07/2020,5411028
01/10/2020,5609276
01/01/2021,5503213
01/04/2021,5853320
01/07/2021,5975139
01/10/2021,6271538
01/01/2022,6098908
01/04/2022,6414266
01/07/2022,6539219
01/10/2022,6701519
01/01/2023,6546655
01/04/2023,6802375
01/07/2023,6927581
01/10/2023,7081776
