DATE,U31ANO
01/02/1992,4977
01/03/1992,5525
01/04/1992,4914
01/05/1992,4736
01/06/1992,5033
01/07/1992,4460
01/08/1992,4425
01/09/1992,4274
01/10/1992,4266
01/11/1992,4209
01/12/1992,4971
01/01/1993,5665
01/02/1993,5719
01/03/1993,7037
01/04/1993,5041
01/05/1993,4931
01/06/1993,5188
01/07/1993,4544
01/08/1993,4696
01/09/1993,4801
01/10/1993,5111
01/11/1993,4971
01/12/1993,4876
01/01/1994,5598
01/02/1994,6054
01/03/1994,6036
01/04/1994,5576
01/05/1994,5350
01/06/1994,5585
01/07/1994,4961
01/08/1994,5441
01/09/1994,5801
01/10/1994,5661
01/11/1994,5674
01/12/1994,5882
01/01/1995,6950
01/02/1995,6806
01/03/1995,7133
01/04/1995,5815
01/05/1995,5793
01/06/1995,5717
01/07/1995,4900
01/08/1995,6052
01/09/1995,5501
01/10/1995,6162
01/11/1995,5995
01/12/1995,5776
01/01/1996,6656
01/02/1996,6454
01/03/1996,5886
01/04/1996,5740
01/05/1996,6225
01/06/1996,5948
01/07/1996,5631
01/08/1996,5987
01/09/1996,5711
01/10/1996,5876
01/11/1996,5489
01/12/1996,5698
01/01/1997,6970
01/02/1997,6878
01/03/1997,6330
01/04/1997,6809
01/05/1997,6291
01/06/1997,6509
01/07/1997,6166
01/08/1997,6256
01/09/1997,6319
01/10/1997,6784
01/11/1997,6597
01/12/1997,6668
01/01/1998,7056
01/02/1998,7489
01/03/1998,6937
01/04/1998,6363
01/05/1998,6379
01/06/1998,6114
01/07/1998,5003
01/08/1998,5725
01/09/1998,5303
01/10/1998,5032
01/11/1998,5568
01/12/1998,5409
01/01/1999,5520
01/02/1999,6671
01/03/1999,6228
01/04/1999,6065
01/05/1999,5900
01/06/1999,5915
01/07/1999,5336
01/08/1999,5987
01/09/1999,5662
01/10/1999,5817
01/11/1999,6084
01/12/1999,5739
01/01/2000,6647
01/02/2000,6785
01/03/2000,6626
01/04/2000,5866
01/05/2000,5742
01/06/2000,5823
01/07/2000,4987
01/08/2000,5553
01/09/2000,5419
01/10/2000,5170
01/11/2000,4980
01/12/2000,4583
01/01/2001,5491
01/02/2001,5610
01/03/2001,5579
01/04/2001,5116
01/05/2001,5582
01/06/2001,5808
01/07/2001,4675
01/08/2001,5008
01/09/2001,4759
01/10/2001,4433
01/11/2001,4463
01/12/2001,4625
01/01/2002,5267
01/02/2002,5492
01/03/2002,5440
01/04/2002,5719
01/05/2002,5949
01/06/2002,5561
01/07/2002,5021
01/08/2002,5643
01/09/2002,5254
01/10/2002,5204
01/11/2002,4450
01/12/2002,4631
01/01/2003,5379
01/02/2003,5832
01/03/2003,4789
01/04/2003,5273
01/05/2003,5519
01/06/2003,5320
01/07/2003,4970
01/08/2003,5818
01/09/2003,5033
01/10/2003,6395
01/11/2003,5987
01/12/2003,5744
01/01/2004,6382
01/02/2004,7348
01/03/2004,8399
01/04/2004,7543
01/05/2004,8149
01/06/2004,8310
01/07/2004,8788
01/08/2004,9784
01/09/2004,8541
01/10/2004,7113
01/11/2004,8648
01/12/2004,8610
01/01/2005,8523
01/02/2005,9590
01/03/2005,9714
01/04/2005,7881
01/05/2005,8163
01/06/2005,7855
01/07/2005,7383
01/08/2005,10019
01/09/2005,9708
01/10/2005,9695
01/11/2005,9804
01/12/2005,9435
01/01/2006,9813
01/02/2006,9231
01/03/2006,10307
01/04/2006,9568
01/05/2006,10249
01/06/2006,10073
01/07/2006,9195
01/08/2006,10246
01/09/2006,8843
01/10/2006,9000
01/11/2006,8652
01/12/2006,8564
01/01/2007,10756
01/02/2007,9908
01/03/2007,11558
01/04/2007,11929
01/05/2007,10996
01/06/2007,8775
01/07/2007,9203
01/08/2007,10758
01/09/2007,10102
01/10/2007,10899
01/11/2007,11459
01/12/2007,11101
01/01/2008,13382
01/02/2008,13059
01/03/2008,14508
01/04/2008,15281
01/05/2008,14412
01/06/2008,15438
01/07/2008,16097
01/08/2008,13273
01/09/2008,10415
01/10/2008,7322
01/11/2008,6052
01/12/2008,5637
01/01/2009,5906
01/02/2009,5583
01/03/2009,4649
01/04/2009,5018
01/05/2009,5424
01/06/2009,7141
01/07/2009,7001
01/08/2009,7306
01/09/2009,6785
01/10/2009,6649
01/11/2009,6454
01/12/2009,6701
01/01/2010,9610
01/02/2010,9579
01/03/2010,10623
01/04/2010,10220
01/05/2010,10271
01/06/2010,9725
01/07/2010,10725
01/08/2010,10417
01/09/2010,9461
01/10/2010,8219
01/11/2010,11064
01/12/2010,10301
01/01/2011,12619
01/02/2011,10179
01/03/2011,13069
01/04/2011,11051
01/05/2011,12119
01/06/2011,10561
01/07/2011,11166
01/08/2011,12149
01/09/2011,11564
01/10/2011,10786
01/11/2011,11933
01/12/2011,12391
01/01/2012,12635
01/02/2012,12362
01/03/2012,12813
01/04/2012,11932
01/05/2012,11330
01/06/2012,10789
01/07/2012,10462
01/08/2012,11002
01/09/2012,9838
01/10/2012,11076
01/11/2012,10393
01/12/2012,10385
01/01/2013,11174
01/02/2013,11426
01/03/2013,11139
01/04/2013,11545
01/05/2013,10943
01/06/2013,10745
01/07/2013,10430
01/08/2013,10663
01/09/2013,10315
01/10/2013,11382
01/11/2013,10978
01/12/2013,9670
01/01/2014,11496
01/02/2014,10923
01/03/2014,11822
01/04/2014,11413
01/05/2014,11125
01/06/2014,11665
01/07/2014,11140
01/08/2014,10538
01/09/2014,11368
01/10/2014,11386
01/11/2014,9896
01/12/2014,10051
01/01/2015,10073
01/02/2015,9268
01/03/2015,9404
01/04/2015,9408
01/05/2015,9019
01/06/2015,9352
01/07/2015,8409
01/08/2015,8589
01/09/2015,7973
01/10/2015,8431
01/11/2015,7573
01/12/2015,7325
01/01/2016,8046
01/02/2016,7903
01/03/2016,8132
01/04/2016,8118
01/05/2016,7860
01/06/2016,8004
01/07/2016,7404
01/08/2016,8049
01/09/2016,7385
01/10/2016,7742
01/11/2016,7812
01/12/2016,7705
01/01/2017,8799
01/02/2017,8668
01/03/2017,9817
01/04/2017,9002
01/05/2017,9708
01/06/2017,9980
01/07/2017,9002
01/08/2017,9963
01/09/2017,8753
01/10/2017,9872
01/11/2017,9434
01/12/2017,8933
01/01/2018,10520
01/02/2018,10468
01/03/2018,11979
01/04/2018,11605
01/05/2018,11783
01/06/2018,11754
01/07/2018,11463
01/08/2018,11868
01/09/2018,10680
01/10/2018,11138
01/11/2018,10511
01/12/2018,10554
01/01/2019,10199
01/02/2019,10738
01/03/2019,11205
01/04/2019,10628
01/05/2019,10011
01/06/2019,9849
01/07/2019,9685
01/08/2019,9573
01/09/2019,8647
01/10/2019,8804
01/11/2019,8232
01/12/2019,7885
01/01/2020,9135
01/02/2020,9231
01/03/2020,8336
01/04/2020,6677
01/05/2020,7179
01/06/2020,7681
01/07/2020,7474
01/08/2020,8105
01/09/2020,8700
01/10/2020,8631
01/11/2020,8699
01/12/2020,9366
01/01/2021,10785
01/02/2021,11075
01/03/2021,12831
01/04/2021,12567
01/05/2021,12971
01/06/2021,13697
01/07/2021,13353
01/08/2021,14815
01/09/2021,14247
01/10/2021,14037
01/11/2021,13753
01/12/2021,14636
01/01/2022,14415
01/02/2022,14329
01/03/2022,15915
01/04/2022,14795
01/05/2022,15695
01/06/2022,15880
01/07/2022,14888
01/08/2022,15248
01/09/2022,15111
01/10/2022,14357
01/11/2022,13628
01/12/2022,13736
01/01/2023,14423
01/02/2023,14652
01/03/2023,16505
01/04/2023,14678
01/05/2023,15895
01/06/2023,15611
01/07/2023,14373
01/08/2023,15306
01/09/2023,14201
01/10/2023,14379
01/11/2023,13872
01/12/2023,13914
01/01/2024,15040
